year,heatwaves_rcp45,heatwaves_rcp85,consecutive_dry_days_rcp45,consecutive_dry_days_rcp85,mean wind speed rcp45(m/s),mean wind speed rcp85(m/s),extreme_wind_speed_days_rcp45,extreme_wind_speed_days_rcp85,daily max temperature rcp45(K),daily max temperature rcp85(K)
2024,0,5,39.0,35.0,3.799999952316284,3.869999885559082,11.0,8.0,307.3699951171875,309.4599914550781
2025,23,0,25.0,17.0,3.509999990463257,3.700000047683716,5.0,12.0,311.9800109863281,308.7200012207031
2026,0,0,14.0,25.0,3.680000066757202,3.4700000286102295,12.0,4.0,308.1000061035156,309.0199890136719
2027,0,3,13.0,11.0,3.7799999713897705,3.6600000858306885,9.0,6.0,303.4200134277344,310.4800109863281
2028,6,0,26.0,22.0,3.3499999046325684,3.440000057220459,5.0,3.0,307.75,306.7799987792969
2029,0,0,12.0,11.0,3.450000047683716,3.619999885559082,7.0,5.0,305.989990234375,306.7799987792969
2030,0,5,17.0,18.0,3.630000114440918,3.5799999237060547,10.0,3.0,304.3500061035156,309.489990234375
2031,9,0,20.0,19.0,3.7300000190734863,3.5999999046325684,13.0,5.0,309.67999267578125,303.0899963378906
2032,0,11,19.0,21.0,3.309999942779541,3.4000000953674316,2.0,5.0,306.82000732421875,310.3999938964844
2033,0,0,17.0,16.0,3.569999933242798,3.5,8.0,2.0,303.17999267578125,305.489990234375
2034,0,0,13.0,16.0,3.7799999713897705,3.9000000953674316,7.0,6.0,303.1499938964844,306.7799987792969
2035,0,0,22.0,19.0,3.8499999046325684,3.5,14.0,8.0,306.45001220703125,310.6600036621094
2036,4,0,21.0,27.0,3.6500000953674316,3.5799999237060547,5.0,7.0,309.4100036621094,307.3399963378906
2037,0,0,27.0,32.0,3.4600000381469727,3.490000009536743,1.0,8.0,306.6000061035156,309.4200134277344
2038,8,0,16.0,12.0,3.759999990463257,3.8399999141693115,11.0,6.0,313.75,303.8299865722656
2039,7,5,20.0,14.0,3.5999999046325684,3.75,7.0,15.0,312.1600036621094,312.2300109863281
2040,0,0,18.0,14.0,3.9100000858306885,3.680000066757202,13.0,6.0,303.45001220703125,307.239990234375
2041,0,0,17.0,17.0,3.4100000858306885,3.680000066757202,3.0,14.0,307.79998779296875,307.0199890136719
2042,4,6,21.0,15.0,3.6600000858306885,3.5899999141693115,4.0,11.0,311.5299987792969,310.42999267578125
2043,0,0,11.0,18.0,3.7100000381469727,3.700000047683716,10.0,11.0,304.9200134277344,307.8299865722656
2044,0,0,25.0,16.0,3.549999952316284,3.7300000190734863,7.0,8.0,304.1600036621094,303.7200012207031
2045,0,3,13.0,11.0,3.619999885559082,3.4200000762939453,11.0,3.0,304.510009765625,309.44000244140625
2046,4,7,16.0,13.0,3.5399999618530273,3.690000057220459,5.0,4.0,305.7799987792969,310.8500061035156
2047,8,0,14.0,12.0,3.5299999713897705,3.4800000190734863,7.0,4.0,310.7699890136719,305.239990234375
2048,3,0,30.0,30.0,3.430000066757202,3.4800000190734863,6.0,6.0,308.1700134277344,305.67999267578125
2049,0,3,16.0,17.0,3.5299999713897705,3.6600000858306885,2.0,7.0,307.6700134277344,309.1600036621094
2050,3,11,12.0,13.0,3.6500000953674316,3.930000066757202,8.0,13.0,312.9599914550781,309.6099853515625
2051,0,0,21.0,31.0,3.3499999046325684,3.369999885559082,2.0,8.0,304.6000061035156,307.489990234375
2052,0,0,12.0,19.0,3.690000057220459,3.6600000858306885,11.0,5.0,303.4700012207031,309.20001220703125
2053,8,0,12.0,11.0,3.4200000762939453,3.8299999237060547,8.0,8.0,310.6099853515625,308.010009765625
2054,0,0,22.0,21.0,3.809999942779541,3.6700000762939453,19.0,6.0,306.8599853515625,301.760009765625
