year,days_moderate_fire_danger,days_high_fire_danger,days_very_high_fire_danger,longitude,latitude
2024,18,2,0,9.343,54.629
2025,26,6,0,9.343,54.629
2026,16,0,0,9.343,54.629
2027,62,18,8,9.343,54.629
2028,34,6,0,9.343,54.629
2029,2,0,0,9.343,54.629
2030,34,8,0,9.343,54.629
2031,12,0,0,9.343,54.629
2032,36,12,2,9.343,54.629
2033,4,0,0,9.343,54.629
2034,34,8,4,9.343,54.629
2035,12,0,0,9.343,54.629
2036,18,2,0,9.343,54.629
2037,36,6,0,9.343,54.629
2038,8,0,0,9.343,54.629
2039,44,6,0,9.343,54.629
2040,4,0,0,9.343,54.629
2041,6,0,0,9.343,54.629
2042,14,0,0,9.343,54.629
2043,26,2,0,9.343,54.629
2044,14,2,0,9.343,54.629
2045,12,0,0,9.343,54.629
2046,12,0,0,9.343,54.629
2047,20,2,0,9.343,54.629
2048,36,8,4,9.343,54.629
2049,24,4,0,9.343,54.629
2050,30,8,0,9.343,54.629
2051,10,0,0,9.343,54.629
2052,36,4,0,9.343,54.629
2053,4,0,0,9.343,54.629
2054,26,4,0,9.343,54.629
